,Country,Ladder,Positive affect,Negative affect,Social support,Freedom,Corruption,Generosity,Log of GDP per capita,Healthy life expectancy,CO2 Emissions,Population,Yearly Change,Net Change,Density,Land Area,Urban Pop %
0,Finland,1,41.0,10.0,2.0,5.0,4.0,47.0,22.0,27.0,42.381841,5542237,0.0015,8564,18,303890,0.86
1,Denmark,2,24.0,26.0,4.0,6.0,3.0,22.0,14.0,23.0,30.955444,5795780,0.0034999999999999996,20326,137,42430,0.88
2,Norway,3,16.0,29.0,3.0,3.0,8.0,11.0,7.0,12.0,42.784,5428594,0.0079,42384,15,365268,0.83
3,Iceland,4,3.0,3.0,1.0,7.0,45.0,3.0,15.0,13.0,3.546263,341628,0.006500000000000001,2212,3,100250,0.94
4,Netherlands,5,12.0,25.0,15.0,19.0,12.0,7.0,12.0,18.0,153.032807,17141544,0.0022,37742,508,33720,0.92
5,Switzerland,6,44.0,21.0,13.0,11.0,7.0,16.0,8.0,4.0,36.733064,8665615,0.0074,63257,219,39516,0.74
6,Sweden,7,34.0,8.0,25.0,10.0,6.0,17.0,13.0,17.0,40.982492,10110233,0.0063,62886,25,410340,0.88
7,New Zealand,8,22.0,12.0,5.0,8.0,5.0,8.0,26.0,14.0,37.121034,4829021,0.008199999999999999,39170,18,263310,0.87
8,Canada,9,18.0,49.0,20.0,9.0,11.0,14.0,19.0,8.0,584.714184,37799407,0.0089,331107,4,9093510,0.81
9,Austria,10,64.0,24.0,31.0,26.0,19.0,25.0,16.0,15.0,67.936185,9015361,0.005699999999999999,51296,109,82409,0.57
10,Australia,11,47.0,37.0,7.0,17.0,13.0,6.0,18.0,10.0,416.356588,25550683,0.0118,296686,3,7682300,0.86
11,Costa Rica,12,4.0,87.0,42.0,16.0,58.0,75.0,67.0,28.0,8.053606,5102158,0.0092,46557,100,51060,0.8
12,Israel,13,104.0,69.0,38.0,93.0,74.0,24.0,31.0,11.0,58.645203,8678517,0.016,136158,400,21640,0.93
13,Luxembourg,14,62.0,19.0,27.0,28.0,9.0,30.0,2.0,16.0,9.751728,627704,0.0166,10249,242,2590,0.88
14,United Kingdom,15,52.0,42.0,9.0,63.0,15.0,4.0,23.0,24.0,364.753306,67948282,0.0053,355839,281,241930,0.83
15,Ireland,16,33.0,32.0,6.0,33.0,10.0,9.0,6.0,20.0,37.325663,4947267,0.0113,55291,72,68890,0.63
16,Germany,17,65.0,30.0,39.0,44.0,17.0,19.0,17.0,25.0,707.149948,83830972,0.0032,266897,240,348560,0.76
17,Belgium,18,57.0,53.0,22.0,53.0,20.0,44.0,21.0,26.0,99.432619,11598451,0.0044,50295,383,30280,0.98
18,Malta,22,83.0,103.0,16.0,12.0,32.0,5.0,28.0,19.0,1.649193,441750,0.0027,1171,1380,320,0.93
19,Mexico,23,6.0,40.0,67.0,71.0,87.0,120.0,57.0,46.0,472.191499,129166028,0.0106,1357224,66,1943950,0.84
20,France,24,56.0,66.0,32.0,69.0,21.0,68.0,25.0,5.0,316.386776,65298930,0.0022,143783,119,547557,0.82
21,Chile,26,15.0,78.0,58.0,98.0,99.0,45.0,49.0,30.0,91.961935,19144605,0.0087,164163,26,743532,0.85
22,Guatemala,27,8.0,85.0,78.0,25.0,82.0,78.0,99.0,85.0,19.761452,17971382,0.019,334096,167,107160,0.52
23,Spain,30,107.0,107.0,26.0,95.0,78.0,50.0,30.0,3.0,251.825149,46757980,0.0004,18002,94,498800,0.8
24,Panama,31,7.0,48.0,41.0,32.0,104.0,88.0,51.0,33.0,13.419543,4326296,0.0161,68328,58,74340,0.68
25,Brazil,32,69.0,105.0,43.0,84.0,71.0,108.0,70.0,72.0,475.104581,212821986,0.0072,1509890,25,8358140,0.88
26,Uruguay,33,10.0,76.0,35.0,30.0,33.0,80.0,52.0,35.0,6.489942,3475842,0.0034999999999999996,11996,20,175020,0.96
27,Singapore,34,38.0,2.0,36.0,20.0,1.0,21.0,3.0,1.0,29.91656,5858322,0.0079,46005,8358,700,1.0
28,El Salvador,35,23.0,84.0,83.0,74.0,85.0,134.0,100.0,75.0,7.422948,6491923,0.0051,32652,313,20720,0.73
29,Italy,36,99.0,123.0,23.0,132.0,128.0,48.0,29.0,7.0,339.233207,60446035,-0.0015,-88249,206,294140,0.69
